# Entertainment
Netflix|netflix.com|Netflix Standard,Netflix Premium,Netflix Basic
Disney+|disneyplus.com|Disney Plus,Disney Hotstar,Disney+ Hotstar
Amazon Prime Video|primevideo.com|Prime Video
YouTube Premium|youtube.com|YouTube Red
Apple TV+|tv.apple.com|Apple TV Plus,Apple TV
HBO Max|hbomax.com|Max,HBO Now,HBO Go
Hulu|hulu.com
Paramount+|paramountplus.com|Paramount Plus,CBS All Access
Peacock|peacocktv.com
Crunchyroll|crunchyroll.com|Funimation
MUBI|mubi.com
Shudder|shudder.com
BritBox|britbox.com
Acorn TV|acorn.tv
AMC+|amcplus.com
Starz|starz.com
MGM+|mgmplus.com|Epix
Criterion Channel|criterionchannel.com
Curiosity Stream|curiositystream.com
Nebula|nebula.tv
Dropout|dropout.tv
Floatplane|floatplane.com
Vimeo|vimeo.com
Viki|viki.com|Rakuten Viki
Viu|viu.com
iQIYI|iq.com|爱奇艺
WeTV|wetv.vip|Tencent Video
Youku|youku.tv
Bilibili|bilibili.tv
Mango TV|mgtv.com
JioHotstar|hotstar.com|Hotstar,JioCinema
ZEE5|zee5.com
SonyLIV|sonyliv.com
Sun NXT|sunnxt.com
aha|aha.video
Hoichoi|hoichoi.tv
Eros Now|erosnow.com
ShemarooMe|shemaroome.com
Chaupal|chaupal.tv
ManoramaMAX|manoramamax.com
Discovery+|discoveryplus.com|Discovery Plus
NOW|nowtv.com|NOW TV
SkyShowtime|skyshowtime.com
Sky Go|sky.com
ITVX|itv.com|ITV Hub
Channel 4+|channel4.com|All 4 Plus
STV Player|player.stv.tv
BFI Player|player.bfi.org.uk
National Theatre at Home|ntathome.com
Marquee TV|marquee.tv
BroadwayHD|broadwayhd.com
Met Opera on Demand|metopera.org
Medici.tv|medici.tv
Filmin|filmin.es
Movistar Plus+|movistarplus.es
Atresplayer|atresplayer.com
Mitele|mitele.es
Viaplay|viaplay.com
TV 2 Play|play.tv2.dk
TV4 Play|tv4play.se
Ruutu|ruutu.fi
Videoland|videoland.com
NLZIET|nlziet.nl
Canal+|canalplus.com
Molotov|molotov.tv
Joyn|joyn.de
RTL+|plus.rtl.de
WOW|wowtv.de
MagentaTV|magenta.tv
Zattoo|zattoo.com
waipu.tv|waipu.tv
Tivify|tivify.tv
Filmbox+|filmbox.com
Rakuten TV|rakuten.tv
FlixOlé|flixole.com
Sling TV|sling.com
YouTube TV|tv.youtube.com
Fubo|fubo.tv|fuboTV
DirecTV Stream|directv.com
Philo|philo.com
Frndly TV|frndlytv.com
Plex Pass|plex.tv
Emby Premiere|emby.media
Screambox|screambox.com
Fandor|fandor.com
OVID|ovid.tv
MHz Choice|mhzchoice.com
Dekkoo|dekkoo.com
Revry|revry.tv
Gaia|gaia.com
Hallmark+|hallmarkplus.com|Hallmark Movies Now
Lifetime Movie Club|lifetimemovieclub.com
History Vault|historyvault.com
A&E Crime Central|aecrimecentral.com
PBS Passport|pbs.org
Tastemade|tastemade.com
MotorTrend|motortrend.com
HIDIVE|hidive.com
RetroCrush|retrocrush.tv
AsianCrush|asiancrush.com
Kocowa|kocowa.com
OnDemandKorea|ondemandkorea.com
OnDemandChina|ondemandchina.com
TVING|tving.com
Wavve|wavve.com
Coupang Play|coupangplay.com
Watcha|watcha.com
U-NEXT|unext.jp
Abema|abema.tv
d Anime Store|animestore.docomo.ne.jp
FOD|fod.fujitv.co.jp
TELASA|telasa.jp
WOWOW|wowow.co.jp
Niconico|nicovideo.jp
Lemino|lemino.docomo.ne.jp
Stan|stan.com.au
Binge|binge.com.au
Foxtel|foxtel.com.au
BritBox Australia|britbox.com.au
Neon|neontv.co.nz
Sky Sport Now|skysportnow.co.nz
Showmax|showmax.com
DStv|dstv.com
GOtv|gotvafrica.com
StarTimes|startimestv.com
IrokoTV|irokotv.com
Shahid|shahid.mbc.net
OSN+|osnplus.com
STARZPLAY|starzplay.com
TOD|tod.tv
Anghami Plus|anghami.com
Globoplay|globoplay.globo.com
Telecine|telecine.com.br
Premiere|premiere.globo.com
Looke|looke.com.br
Claro video|clarovideo.com
ViX|vix.com
Flow|flow.com.ar
Movistar Play|movistar.com
Crave|crave.ca
Super Channel|superchannel.ca
Hollywood Suite|hollywoodsuite.ca
CBC Gem|gem.cbc.ca
ICI TOU.TV|ici.tou.tv
Club illico|clubillico.com
Astro|astro.com.my
sooka|sooka.my
Astro GO|astrogo.astro.com.my
Unifi TV|unifi.com.my
meWATCH|mewatch.sg|Toggle
Singtel TV|singtel.com
StarHub TV+|starhub.com
Vidio|vidio.com
Vision+|visionplus.id
RCTI+|rctiplus.com
TrueID|trueid.net
AIS PLAY|aisplay.ais.co.th
FPT Play|fptplay.vn
VieON|vieon.vn
Galaxy Play|galaxyplay.vn
K+|kplus.vn
myTV SUPER|mytvsuper.com
Now E|nowe.com
Hami Video|hamivideo.hinet.net
friDay Video|video.friday.tw
Catchplay+|catchplay.com
KKTV|kktv.me
LiTV|litv.tv
LINE TV|linetv.tw
# Music
Spotify|spotify.com|Spotify Premium,Spotify Family,Spotify Duo
Apple Music|music.apple.com
YouTube Music|music.youtube.com
Amazon Music|music.amazon.com|Amazon Music Unlimited
Tidal|tidal.com
Deezer|deezer.com
Qobuz|qobuz.com
Pandora|pandora.com
SoundCloud|soundcloud.com|SoundCloud Go,SoundCloud Next Pro
SiriusXM|siriusxm.com
TuneIn|tunein.com
Napster|napster.com
IDAGIO|idagio.com
Presto Music|prestomusic.com
Nugs.net|nugs.net
LiveOne|liveone.com|Slacker
DI.FM|di.fm
RadioTunes|radiotunes.com
JazzRadio|jazzradio.com
Calm Radio|calmradio.com
ROCKRADIO|rockradio.com
JioSaavn|jiosaavn.com
Gaana|gaana.com
Hungama Music|hungama.com
KKBOX|kkbox.com
Joox|joox.com
NetEase Cloud Music|music.163.com
QQ Music|y.qq.com
Kugou Music|kugou.com
Kuwo Music|kuwo.cn
Melon|melon.com
Genie Music|genie.co.kr
Bugs|music.bugs.co.kr
FLO|music-flo.com
LINE Music|music.line.me
AWA|awa.fm
Yandex Music|music.yandex.com
VK Music|music.vk.com
Boomplay|boomplay.com
Audiomack|audiomack.com
Mdundo|mdundo.com
Soundtrack Your Brand|soundtrackyourbrand.com
Rockbot|rockbot.com
Cloud Cover Music|cloudcovermusic.com
Feed.fm|feed.fm
Brain.fm|brain.fm
Focus@Will|focusatwill.com
Endel|endel.io
myNoise|mynoise.net
Noisli|noisli.com
Epidemic Sound|epidemicsound.com
Artlist|artlist.io
Musicbed|musicbed.com
Soundstripe|soundstripe.com
Audiio|audiio.com
Uppbeat|uppbeat.io
Lickd|lickd.co
PremiumBeat|premiumbeat.com
BeatStars|beatstars.com
Splice|splice.com
Loopcloud|loopcloud.com
LANDR|landr.com
DistroKid|distrokid.com
TuneCore|tunecore.com
Ditto Music|dittomusic.com
UnitedMasters|unitedmasters.com
Amuse|amuse.io
ReverbNation|reverbnation.com
Bandzoogle|bandzoogle.com
BandLab|bandlab.com
Soundtrap|soundtrap.com
Flat|flat.io
Noteflight|noteflight.com
MuseScore|musescore.com
Ultimate Guitar|ultimate-guitar.com
Chordify|chordify.net
Songsterr|songsterr.com
Moises|moises.ai
Yousician|yousician.com
Simply Piano|hellosimply.com
Flowkey|flowkey.com
Skoove|skoove.com
Fender Play|fender.com
Guitar Tricks|guitartricks.com
TrueFire|truefire.com
JamPlay|jamplay.com
Pianote|pianote.com
Drumeo|drumeo.com
Scott's Bass Lessons|scottsbasslessons.com
Melodics|melodics.com
Playground Sessions|playgroundsessions.com
# Gaming
Xbox Game Pass|xbox.com|Xbox Live Gold,PC Game Pass,Game Pass Ultimate
PlayStation Plus|playstation.com|PS Plus,PlayStation Now
Nintendo Switch Online|nintendo.com
Apple Arcade|apple.com
EA Play|ea.com|Origin Access
Ubisoft+|ubisoft.com|Uplay Plus
GeForce NOW|nvidia.com
Amazon Luna|luna.amazon.com
Humble Choice|humblebundle.com
Antstream Arcade|antstream.com
Blacknut|blacknut.com
Boosteroid|boosteroid.com
Shadow PC|shadow.tech
airgpu|airgpu.com
Parsec|parsec.app
GameClub|gameclub.io
GameFly|gamefly.com
Meta Quest+|meta.com
Viveport Infinity|viveport.com
Discord Nitro|discord.com
Twitch Turbo|twitch.tv
Patreon|patreon.com
Ko-fi|ko-fi.com
Roblox Premium|roblox.com
Minecraft Realms|minecraft.net
World of Warcraft|worldofwarcraft.blizzard.com|WoW
Final Fantasy XIV|finalfantasyxiv.com|FFXIV
RuneScape|runescape.com
Old School RuneScape|oldschool.runescape.com|OSRS
EVE Online|eveonline.com
Elder Scrolls Online|elderscrollsonline.com|ESO Plus
Fallout 76|fallout.bethesda.net|Fallout 1st
Star Wars The Old Republic|swtor.com|SWTOR
Albion Online|albiononline.com
Tibia|tibia.com
Dofus|dofus.com
Wakfu|wakfu.com
EverQuest|everquest.com
EverQuest II|everquest2.com
DC Universe Online|dcuniverseonline.com
Daybreak All Access|daybreakgames.com
Wizard101|wizard101.com
Pirate101|pirate101.com
Star Stable|starstable.com
Animal Jam|animaljam.com
Neopets|neopets.com
AdventureQuest Worlds|aq.com
Fortnite Crew|fortnite.com
GTA+|rockstargames.com
Chess.com|chess.com
Chessable|chessable.com
Internet Chess Club|chessclub.com
Aimchess|aimchess.com
DecodeChess|decodechess.com
Board Game Arena|boardgamearena.com
Tabletopia|tabletopia.com
Roll20|roll20.net
